R_3Iqb2BG0TxqlfTH,Default Response Set,Anonymous,,,174.69.63.84,0,04/06/2017 12:41,04/06/2017 12:44,1,1,1,,,Second,First,,,,,,,,,,,,,I think I relied on the harshness of the first sound to judge the softness of the overall sound.,Yes,No,47,female,right-handed,English,None,No,No,Maybe,Never,Never,1,FM_KheuKhya_KheuKhya,30.48049927,-87.1996994,-1
R_2rSLhjP1jqB5sOr,Default Response Set,Anonymous,,,73.138.27.25,0,04/06/2017 12:57,04/06/2017 12:59,1,1,1,First,Second,,,,,,,,,,,,,,,The volume of the sounds is how I judged if they were soft. That's really all I did.,Yes,No,27,male,right-handed,English,None,No,No,No,Never,Never,1,MF_KheuKhya_KheuKhya,25.75289917,-80.23329926,-1
R_2zZam1FDWUNSgSr,Default Response Set,Anonymous,,,73.13.142.118,0,04/06/2017 12:58,04/06/2017 13:00,1,1,1,,,,,,,,,,,,,,,Second,First,The sounds that I distinguished as being softer sounded more 'airy' or 'light' and more like a breathing sound.,Yes,No,22,male,right-handed,English,None,No,No,No,Don't know,Never,1,FM_KheuKhya_KhyaKheu,39.95970154,-75.19680023,-1
R_1LzBtPaT0EhdXlp,Default Response Set,Anonymous,,,96.29.161.191,0,04/06/2017 12:58,04/06/2017 13:01,1,1,1,,,,,,,,,,,First,First,,,,,I picked the sound that wasn't very loud. If it sounded quieter to me that is the one that I picked.,Yes,No,35,female,right-handed,English,None,No,No,No,Never,Never,1,FM_KhyaKheu_KheuKhya,38.06149292,-84.45659637,-1
R_3nuvRiMkxH42cGh,Default Response Set,Anonymous,,,71.199.138.152,0,04/06/2017 13:00,04/06/2017 13:03,1,1,1,,,,,,,,,,,,,First,First,,,I chose a particular sound soft if it wasn't harsh on the ears. ,Yes,Yes,22,female,right-handed,"Vietnamese, English",None,Yes,No,Yes,Occasionally,Never,1,MF_KheuKhya_KhyaKheu,33.585495,-84.32790375,-1
R_2zYXKpmN1RFrOeu,Default Response Set,Anonymous,,,72.185.198.249,0,04/06/2017 13:04,04/06/2017 13:05,1,1,1,,,Second,First,,,,,,,,,,,,,na,Yes,No,29,male,right-handed,english,None,Yes,No,No,Never,Never,1,FM_KheuKhya_KheuKhya,27.75309753,-82.72239685,-1
R_21yQOFFtodGqES0,Default Response Set,Anonymous,,,172.15.195.204,0,04/06/2017 12:58,04/06/2017 13:00,0,1,1,First,Second,,,,,,,,,,,,,,,"I am not sure what influenced my judgement, only that how hard it sounded in my ears. It sounded as if they were pronunciations for the C letter.",Yes,No,24,female,right-handed,English,None,No,No,No,Never,Never,,MF_KheuKhya_KheuKhya,,,-1
R_12m2H9rzLZozOov,Default Response Set,Anonymous,,,71.176.109.214,0,04/06/2017 12:58,04/06/2017 12:59,0,1,1,,,Second,Second,,,,,,,,,,,,,the second one just seemed gentler,Yes,No,37,male,right-handed,english,None,No,No,No,Never,Never,,FM_KheuKhya_KheuKhya,,,-1
R_10P0u2SNZh73qQO,Default Response Set,Anonymous,,,136.61.93.207,0,04/06/2017 12:49,04/06/2017 12:52,0,1,1,,,,,,,,,,,,,,,Second,First,How the noises were portrayed.,Yes,Yes,22,male,right-handed,english,None,Yes,No,No,Rarely,Never,,FM_KheuKhya_KhyaKheu,,,-1
R_2feZdjeF2A7Gy3e,Default Response Set,Anonymous,,,66.61.7.238,0,04/06/2017 12:14,04/06/2017 12:16,0,1,1,,,,,,,First,First,,,,,,,,,"The sounds that sounded soft were more airy and didn't have the harsh ""k"" noise in them. They also faded out rather than stopped right away.",Yes,No,23,female,right-handed,English,None,Maybe,No,No,Rarely,Never,,FM_KhyaKheu_KhyaKheu,,,-1
