ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_qKocXAWyClOx8lP,male,41,english,Short visit(s),Rarely,None,No,Maybe,No,yeah it was ball reflects on bat sound.,KheuKhya,Female,First,Kheu,pleasant
R_qKocXAWyClOx8lP,male,41,english,Short visit(s),Rarely,None,No,Maybe,No,yeah it was ball reflects on bat sound.,KheuKhya,Male,Second,Khya,pleasant
R_qL2qQdRFmPx8Jdn,male,27,English,Never,Never,None,No,Yes,No,I'm really not sure.,KhyaKheu,Male,First,Khya,pleasant
R_qL2qQdRFmPx8Jdn,male,27,English,Never,Never,None,No,Yes,No,I'm really not sure.,KhyaKheu,Female,First,Khya,pleasant
R_RrdqWbRkViLhhQt,male,47,English,Never,Never,None,No,No,No,In the first option the one I chose sounded less intense. In the second set of choices the bottom choice did not appear. I waited and it only appeared just as I advanced the page.,KhyaKheu,Male,First,Khya,pleasant
R_RrdqWbRkViLhhQt,male,47,English,Never,Never,None,No,No,No,In the first option the one I chose sounded less intense. In the second set of choices the bottom choice did not appear. I waited and it only appeared just as I advanced the page.,KhyaKheu,Female,First,Khya,pleasant
R_s6SdJWagsI5Wrkt,female,36,English,Never,Never,None,No,Yes,Yes,One seemed to sound smoother than the other,KhyaKheu,Male,First,Khya,pleasant
R_s6SdJWagsI5Wrkt,female,36,English,Never,Never,None,No,Yes,Yes,One seemed to sound smoother than the other,KhyaKheu,Female,First,Khya,pleasant
R_shaL6BYU5aWkqsN,female,53,english,Never,Never,None,No,No,No,No idea really,KheuKhya,Male,Second,Khya,pleasant
R_shaL6BYU5aWkqsN,female,53,english,Never,Never,None,No,No,No,No idea really,KhyaKheu,Female,Second,Kheu,pleasant
R_shFoRwHVXRWpYB3,female,22,"English, Chinese",Never,Regularly,None,Yes,Yes,Yes,Sharp sounds were less pleasant soft sounds more,KhyaKheu,Male,Second,Kheu,pleasant
R_shFoRwHVXRWpYB3,female,22,"English, Chinese",Never,Regularly,None,Yes,Yes,Yes,Sharp sounds were less pleasant soft sounds more,KhyaKheu,Female,First,Khya,pleasant
R_SUCOEjjwLvB5UuR,male,32,English,Never,Never,None,No,Yes,No,I made the choice on the more pleasant sound but how soft and less noisy hard the sound was.,KheuKhya,Male,Second,Khya,pleasant
R_SUCOEjjwLvB5UuR,male,32,English,Never,Never,None,No,Yes,No,I made the choice on the more pleasant sound but how soft and less noisy hard the sound was.,KhyaKheu,Female,Second,Kheu,pleasant
R_Tnfh82msewqJAJP,female,30,English,Never,Never,None,No,Yes,No,Sharper sounds seemed a bit more unpleasant for me.,KhyaKheu,Male,First,Khya,pleasant
R_Tnfh82msewqJAJP,female,30,English,Never,Never,None,No,Yes,No,Sharper sounds seemed a bit more unpleasant for me.,KheuKhya,Female,Second,Khya,pleasant
R_u2LcGzBBwYuuxJ7,male,26,English,Never,Never,None,No,No,No,I picked the less annoying one.,KheuKhya,Female,Second,Khya,pleasant
R_u2LcGzBBwYuuxJ7,male,26,English,Never,Never,None,No,No,No,I picked the less annoying one.,KheuKhya,Male,Second,Khya,pleasant
R_UF12qodQM5A3Pt7,female,32,english,Short visit(s),Rarely,Novice,Yes,Maybe,Maybe,none,KheuKhya,Female,First,Kheu,pleasant
R_UF12qodQM5A3Pt7,female,32,english,Short visit(s),Rarely,Novice,Yes,Maybe,Maybe,none,KheuKhya,Male,First,Kheu,pleasant
R_uk4AbFwC0hetLAl,male,18,English,Never,Never,None,No,Yes,Yes,I just picked the one that i liked better,KhyaKheu,Male,First,Khya,pleasant
R_uk4AbFwC0hetLAl,male,18,English,Never,Never,None,No,Yes,Yes,I just picked the one that i liked better,KheuKhya,Female,Second,Khya,pleasant
R_uyWsAba8NcOVL6p,male,22,English,Never,Rarely,None,No,No,No,Some just sounded less harsh than the other options,KhyaKheu,Female,First,Khya,pleasant
R_uyWsAba8NcOVL6p,male,22,English,Never,Rarely,None,No,No,No,Some just sounded less harsh than the other options,KhyaKheu,Male,First,Khya,pleasant
R_V3g5gFZmXBLp8sN,male,34,english,Never,Occasionally,None,Yes,Yes,No,"the caaaaah sound seemed to go on longer, like an echo, which i preferred ",KheuKhya,Female,Second,Khya,pleasant
