ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_1giQPupg67dnWpW,male,52,English (US),Never,Rarely,None,No,Yes,No,"Just sounded more ""harsh""",KhyaKheu,Male,First,Khya,unpleasant
R_1i26VE1XivYvJbT,female,28,English,Never,Never,None,No,No,No,"The higher pitch was what made me choose each sound as unpleasant.  I noticed that it sounded like a snake at first.  However, the second time, it sounded like a person making a ""caa"" sound.",KheuKhya,Female,Second,Khya,unpleasant
R_1i26VE1XivYvJbT,female,28,English,Never,Never,None,No,No,No,"The higher pitch was what made me choose each sound as unpleasant.  I noticed that it sounded like a snake at first.  However, the second time, it sounded like a person making a ""caa"" sound.",KheuKhya,Male,Second,Khya,unpleasant
R_1I5wfFipe5lqpIS,male,49,ENGLISH,Lived 5+ years,Regularly,Advanced,No,Yes,Yes,nothing,KheuKhya,Female,Second,Khya,unpleasant
R_1I5wfFipe5lqpIS,male,49,ENGLISH,Lived 5+ years,Regularly,Advanced,No,Yes,Yes,nothing,KhyaKheu,Male,First,Khya,unpleasant
R_1imoe7uZWkvaYm0,male,20,English,Lived 5+ years,Don't know,None,No,No,No,What influenced my judgement was that both were very annoying sounds but one of the sounds were more irritating to my ears than the other sound which made me choose the unpleasant sound over the other sound.,KheuKhya,Male,Second,Khya,unpleasant
R_1imoe7uZWkvaYm0,male,20,English,Lived 5+ years,Don't know,None,No,No,No,What influenced my judgement was that both were very annoying sounds but one of the sounds were more irritating to my ears than the other sound which made me choose the unpleasant sound over the other sound.,KhyaKheu,Female,First,Khya,unpleasant
R_1jw9m6vk0ueqWZR,female,36,English,Never,Never,None,No,Yes,No,The higher pitch on the first one was more unpleasant.  The other one seemed louder on the second and more unpleasant.  They sounded like coming from same person.,KhyaKheu,Female,First,Khya,unpleasant
R_1jw9m6vk0ueqWZR,female,36,English,Never,Never,None,No,Yes,No,The higher pitch on the first one was more unpleasant.  The other one seemed louder on the second and more unpleasant.  They sounded like coming from same person.,KheuKhya,Male,Second,Khya,unpleasant
R_1kNtvFQtpQhdbeK,male,44,enhglish,Never,Occasionally,None,No,No,Maybe,it sounded less harsh ,KheuKhya,Female,Second,Khya,unpleasant
R_1kNtvFQtpQhdbeK,male,44,enhglish,Never,Occasionally,None,No,No,Maybe,it sounded less harsh ,KheuKhya,Male,Second,Khya,unpleasant
R_1KqhKW6emjSSw5w,female,28,ENGLISH,Never,Rarely,Intermediate,Maybe,Yes,Yes,"What does it take to ask for what you want<d1>and then get it? There seems to be a magical art behind creating a great ask, and we all know stories of people who seem to get exactly what they want whenever they ask. Magicians who bend and will the world to their ways. Why is this? What are they doing that no one else seems to be doing? How do they ask for what they want and seem to get it every time?",KhyaKheu,Female,First,Khya,unpleasant
R_1KqhKW6emjSSw5w,female,28,ENGLISH,Never,Rarely,Intermediate,Maybe,Yes,Yes,"What does it take to ask for what you want<d1>and then get it? There seems to be a magical art behind creating a great ask, and we all know stories of people who seem to get exactly what they want whenever they ask. Magicians who bend and will the world to their ways. Why is this? What are they doing that no one else seems to be doing? How do they ask for what they want and seem to get it every time?",KhyaKheu,Male,Second,Kheu,unpleasant
R_1kTatvmyIuEwG5F,female,24,ENglish,Never,Regularly,None,No,Yes,No,no.,KhyaKheu,Male,First,Khya,unpleasant
R_1kTatvmyIuEwG5F,female,24,ENglish,Never,Regularly,None,No,Yes,No,no.,KheuKhya,Female,First,Kheu,unpleasant
R_1kTeWHnL26aZmdn,female,63,english,Never,Never,None,No,No,No,i think because it was louder,KheuKhya,Male,Second,Khya,unpleasant
R_1kTeWHnL26aZmdn,female,63,english,Never,Never,None,No,No,No,i think because it was louder,KhyaKheu,Female,Second,Kheu,unpleasant
R_1lbC2mJIwtX214m,male,18,English,Never,Rarely,None,No,No,Maybe,"The second sound on both sections just sounded less harsh to me, it sounded like the first sound was more grating and harsh.",KheuKhya,Male,First,Kheu,unpleasant
R_1lbC2mJIwtX214m,male,18,English,Never,Rarely,None,No,No,Maybe,"The second sound on both sections just sounded less harsh to me, it sounded like the first sound was more grating and harsh.",KheuKhya,Female,First,Kheu,unpleasant
R_1lgh5FxsBdcDJzv,female,49,English,Lived 0-5 years,Occasionally,Advanced,Maybe,Maybe,Yes,This sound is really unpleasant one.,KheuKhya,Female,First,Kheu,unpleasant
R_1lgh5FxsBdcDJzv,female,49,English,Lived 0-5 years,Occasionally,Advanced,Maybe,Maybe,Yes,This sound is really unpleasant one.,KheuKhya,Male,Second,Khya,unpleasant
R_1ltuLGckv6MWt1D,male,28,English,Lived 0-5 years,Rarely,Advanced,Maybe,Yes,Maybe,good,KheuKhya,Male,First,Kheu,unpleasant
R_1ltuLGckv6MWt1D,male,28,English,Lived 0-5 years,Rarely,Advanced,Maybe,Yes,Maybe,good,KhyaKheu,Female,Second,Kheu,unpleasant
R_1lzNC3QbXPvTSDY,male,28,ENGLISH,Short visit(s),Rarely,Intermediate,No,Maybe,Maybe,IMPROVE THE VOLUME OF THIS EXPERIMENT,KhyaKheu,Female,First,Khya,unpleasant
R_1lzNC3QbXPvTSDY,male,28,ENGLISH,Short visit(s),Rarely,Intermediate,No,Maybe,Maybe,IMPROVE THE VOLUME OF THIS EXPERIMENT,KhyaKheu,Male,Second,Kheu,unpleasant
R_1MYs99QwOdqO1Tu,,NA,,,,,,,,,KhyaKheu,Male,Second,Kheu,unpleasant
R_1MYs99QwOdqO1Tu,,NA,,,,,,,,,KheuKhya,Female,First,Kheu,unpleasant
R_1Om0zLErNML1a8g,female,32,English,Short visit(s),Occasionally,None,Maybe,Yes,No,no comments,KhyaKheu,Female,First,Khya,unpleasant
R_1Om0zLErNML1a8g,female,32,English,Short visit(s),Occasionally,None,Maybe,Yes,No,no comments,KhyaKheu,Male,Second,Kheu,unpleasant
R_1OxiUzeYdZwUBPH,female,28,English,Never,Rarely,None,No,Maybe,No,I almost imagined the faces being made as the sound was produced. I think this influenced my opinion.,KhyaKheu,Male,First,Khya,unpleasant
R_1OxiUzeYdZwUBPH,female,28,English,Never,Rarely,None,No,Maybe,No,I almost imagined the faces being made as the sound was produced. I think this influenced my opinion.,KhyaKheu,Female,Second,Kheu,unpleasant
R_1OZHK63m4utk902,female,29,english,Never,Occasionally,Novice,Yes,Yes,Yes,it sounded harsher,KheuKhya,Female,First,Kheu,unpleasant
R_1OZHK63m4utk902,female,29,english,Never,Occasionally,Novice,Yes,Yes,Yes,it sounded harsher,KhyaKheu,Male,First,Khya,unpleasant
R_1QKl4LDoO3kjMZe,male,21,English,Never,Never,None,No,No,Yes,The second one sounds like it's being said directly into my ear.,KheuKhya,Male,Second,Khya,unpleasant
R_1QKl4LDoO3kjMZe,male,21,English,Never,Never,None,No,No,Yes,The second one sounds like it's being said directly into my ear.,KheuKhya,Female,Second,Khya,unpleasant
R_1rqMPgZrYDfTuZc,female,26,English,Never,Occasionally,None,No,Yes,Yes,the higher and lower pitches,KhyaKheu,Female,Second,Kheu,unpleasant
R_1rqMPgZrYDfTuZc,female,26,English,Never,Occasionally,None,No,Yes,Yes,the higher and lower pitches,KhyaKheu,Male,Second,Kheu,unpleasant
R_21Gwwg7pn6ZpNoD,male,30,ENGLISH,Never,Don't know,None,No,Maybe,No,enjoyed  / ,KhyaKheu,Female,Second,Kheu,unpleasant
R_21Gwwg7pn6ZpNoD,male,30,ENGLISH,Never,Don't know,None,No,Maybe,No,enjoyed  / ,KhyaKheu,Male,First,Khya,unpleasant
R_21mO2d3ugGNg0OW,male,38,english,Never,Rarely,None,Yes,Maybe,Maybe,its really good to be hear,KheuKhya,Female,First,Kheu,unpleasant
R_21mO2d3ugGNg0OW,male,38,english,Never,Rarely,None,Yes,Maybe,Maybe,its really good to be hear,KheuKhya,Male,Second,Khya,unpleasant
R_21t9US4K4hS5dBX,male,50,English,Lived 0-5 years,Regularly,None,Yes,Yes,Yes,Nice,KhyaKheu,Male,First,Khya,unpleasant
R_21t9US4K4hS5dBX,male,50,English,Lived 0-5 years,Regularly,None,Yes,Yes,Yes,Nice,KheuKhya,Female,First,Kheu,unpleasant
R_24BIwrtk93Gn0gM,female,70,English,Never,Never,None,No,No,No,"1st set choice was based on volume; 2nd set was not really different.  All four were rather a harsh breathe like sound, perhaps exasperation?",KhyaKheu,Female,Second,Kheu,unpleasant
R_24BIwrtk93Gn0gM,female,70,English,Never,Never,None,No,No,No,"1st set choice was based on volume; 2nd set was not really different.  All four were rather a harsh breathe like sound, perhaps exasperation?",KhyaKheu,Male,Second,Kheu,unpleasant
R_24j6SzoYo2T3e7V,male,32,English,Never,Rarely,None,No,Yes,Yes,"If it just sounded deeper and ""heavier"", then I would select it as the more unpleasant of the two sounds. It just sounds like it would belong in a horror movie.",KheuKhya,Male,First,Kheu,unpleasant
R_24j6SzoYo2T3e7V,male,32,English,Never,Rarely,None,No,Yes,Yes,"If it just sounded deeper and ""heavier"", then I would select it as the more unpleasant of the two sounds. It just sounds like it would belong in a horror movie.",KheuKhya,Female,First,Kheu,unpleasant
R_25FyDhYufebNEN0,female,29,English,Never,Rarely,None,No,Maybe,No,"Not sure, just listened to if it sounded more obnoxious or just a noise.",KhyaKheu,Male,First,Khya,unpleasant
R_25FyDhYufebNEN0,female,29,English,Never,Rarely,None,No,Maybe,No,"Not sure, just listened to if it sounded more obnoxious or just a noise.",KheuKhya,Female,First,Kheu,unpleasant
R_28TxPQwA6zw7juC,male,33,English.,Never,Rarely,Novice,Maybe,Maybe,Yes,I can easily judge.,KhyaKheu,Female,Second,Kheu,unpleasant
R_28TxPQwA6zw7juC,male,33,English.,Never,Rarely,Novice,Maybe,Maybe,Yes,I can easily judge.,KheuKhya,Male,Second,Khya,unpleasant
R_29aJSsNfieCHWCW,female,36,English,Never,Occasionally,None,No,Yes,No,I just went with my instinctual reaction ,KhyaKheu,Female,First,Khya,unpleasant
R_29aJSsNfieCHWCW,female,36,English,Never,Occasionally,None,No,Yes,No,I just went with my instinctual reaction ,KheuKhya,Male,First,Kheu,unpleasant
R_2aKWJLsDMYYKrCG,male,36,English,Never,Never,None,No,Yes,Yes,I just went with gut feeling,KhyaKheu,Male,Second,Kheu,unpleasant
R_2aKWJLsDMYYKrCG,male,36,English,Never,Never,None,No,Yes,Yes,I just went with gut feeling,KhyaKheu,Female,Second,Kheu,unpleasant
R_2bU9eek5Enbv7iN,male,32,English,Never,Never,None,No,Yes,Yes,The pitch of the noise influenced my decision and is a very unpleasant sound to listen to. I didn't notice anything else unusual about the sounds. ,KhyaKheu,Male,Second,Kheu,unpleasant
R_2bU9eek5Enbv7iN,male,32,English,Never,Never,None,No,Yes,Yes,The pitch of the noise influenced my decision and is a very unpleasant sound to listen to. I didn't notice anything else unusual about the sounds. ,KheuKhya,Female,First,Kheu,unpleasant
R_2BycESwonbpsLff,female,51,English,Never,Rarely,None,No,Yes,No,The one that was more annoying was higher pitched and more trebly.  ,KhyaKheu,Male,First,Khya,unpleasant
R_2BycESwonbpsLff,female,51,English,Never,Rarely,None,No,Yes,No,The one that was more annoying was higher pitched and more trebly.  ,KhyaKheu,Female,First,Khya,unpleasant
R_2c7sEpY5GLuevmt,male,28,english,Never,Rarely,None,No,Maybe,Yes,Just more jarring. Something where the first part sounded different than the second.,KheuKhya,Male,Second,Khya,unpleasant
R_2c7sEpY5GLuevmt,male,28,english,Never,Rarely,None,No,Maybe,Yes,Just more jarring. Something where the first part sounded different than the second.,KhyaKheu,Female,Second,Kheu,unpleasant
R_2CKak4I7PNsrH4r,male,30,English,Never,Rarely,None,No,Yes,Yes,Usually the louder one is the one I had a problem with.,KheuKhya,Male,First,Kheu,unpleasant
R_2CKak4I7PNsrH4r,male,30,English,Never,Rarely,None,No,Yes,Yes,Usually the louder one is the one I had a problem with.,KhyaKheu,Female,Second,Kheu,unpleasant
R_2cvVCATmwk4Oijx,male,31,English,Never,Never,None,Yes,Yes,Yes,"No, the sounds were similar but had different tones.",KhyaKheu,Female,First,Khya,unpleasant
R_2cvVCATmwk4Oijx,male,31,English,Never,Never,None,Yes,Yes,Yes,"No, the sounds were similar but had different tones.",KhyaKheu,Male,First,Khya,unpleasant
R_2EvhNKymoW1AaEC,male,38,English,Never,Never,None,No,No,No,I think the more emphasized sounds for me were more unpleasant.  They put me at ease.   ,KhyaKheu,Male,First,Khya,unpleasant
R_2EvhNKymoW1AaEC,male,38,English,Never,Never,None,No,No,No,I think the more emphasized sounds for me were more unpleasant.  They put me at ease.   ,KhyaKheu,Female,Second,Kheu,unpleasant
R_2fMIIY1Kz9mNMBP,male,28,english,Lived 0-5 years,Regularly,Advanced,Yes,Yes,Maybe,that very free unpleasant sound,KheuKhya,Female,First,Kheu,unpleasant
R_2fMIIY1Kz9mNMBP,male,28,english,Lived 0-5 years,Regularly,Advanced,Yes,Yes,Maybe,that very free unpleasant sound,KhyaKheu,Male,First,Khya,unpleasant
R_2fq8edrd2C1WzUY,,NA,,,,,,,,,NA,NA,NA,NA,unpleasant
R_2fq8edrd2C1WzUY,,NA,,,,,,,,,NA,NA,NA,NA,unpleasant
R_2P25ai4HlD8GNtD,male,31,English,Never,Never,None,No,No,No,The sounds I picked as unpleasant had a certain roughness or harshness to them that the other one didn't have to the same intensity.,KheuKhya,Female,First,Kheu,unpleasant
R_2P25ai4HlD8GNtD,male,31,English,Never,Never,None,No,No,No,The sounds I picked as unpleasant had a certain roughness or harshness to them that the other one didn't have to the same intensity.,KhyaKheu,Male,First,Khya,unpleasant
R_2q9K1McRCHPvwqz,male,43,English,Never,Occasionally,None,No,No,No,I hate sounds that look like someone is clearing his throat. That is why I believed the second sounds were more unpleasant. ,KhyaKheu,Male,Second,Kheu,unpleasant
R_2q9K1McRCHPvwqz,male,43,English,Never,Occasionally,None,No,No,No,I hate sounds that look like someone is clearing his throat. That is why I believed the second sounds were more unpleasant. ,KhyaKheu,Female,Second,Kheu,unpleasant
R_2qz8X65oW2SsfiJ,male,33,english,Short visit(s),Occasionally,Advanced,Maybe,Maybe,No,unpleasant,KheuKhya,Male,First,Kheu,unpleasant
R_2qz8X65oW2SsfiJ,male,33,english,Short visit(s),Occasionally,Advanced,Maybe,Maybe,No,unpleasant,KheuKhya,Female,First,Kheu,unpleasant
R_2sTFGhA1EpR6vCr,male,28,ENGLISH,Never,Rarely,Intermediate,Yes,Yes,Yes,THEY ARE SIMILAR AND ONE IS A LITTLE BIT LOUDER THAN THE OTHER,KheuKhya,Female,First,Kheu,unpleasant
R_2sTFGhA1EpR6vCr,male,28,ENGLISH,Never,Rarely,Intermediate,Yes,Yes,Yes,THEY ARE SIMILAR AND ONE IS A LITTLE BIT LOUDER THAN THE OTHER,KhyaKheu,Male,First,Khya,unpleasant
R_2TmYK4P8CEZuxnw,female,31,SPANISH,Never,Occasionally,None,No,Yes,Yes,I THINK MY DECISION WAS BASED BASICALLY ON THE SOUND VOLUME,KheuKhya,Female,First,Kheu,unpleasant
R_2TmYK4P8CEZuxnw,female,31,SPANISH,Never,Occasionally,None,No,Yes,Yes,I THINK MY DECISION WAS BASED BASICALLY ON THE SOUND VOLUME,KheuKhya,Male,First,Kheu,unpleasant
R_2UgsRPGwv2gQA30,female,36,English,Never,Don't know,None,No,No,No,The unpleasant one had a lower decibel of sound.,KhyaKheu,Female,Second,Kheu,unpleasant
R_2UgsRPGwv2gQA30,female,36,English,Never,Don't know,None,No,No,No,The unpleasant one had a lower decibel of sound.,KheuKhya,Male,Second,Khya,unpleasant
R_2uOrMhuBsxgN8YT,male,36,ENGLISH,Short visit(s),Occasionally,Intermediate,Maybe,Yes,No,NICE TRY.,KheuKhya,Male,Second,Khya,unpleasant
R_2uOrMhuBsxgN8YT,male,36,ENGLISH,Short visit(s),Occasionally,Intermediate,Maybe,Yes,No,NICE TRY.,KhyaKheu,Female,First,Khya,unpleasant
R_2vizQ52nNgwBR6F,male,34,"english, german",Short visit(s),Occasionally,Intermediate,No,Maybe,No,softer breath as opposes to harder ,KhyaKheu,Male,First,Khya,unpleasant
R_2vizQ52nNgwBR6F,male,34,"english, german",Short visit(s),Occasionally,Intermediate,No,Maybe,No,softer breath as opposes to harder ,KhyaKheu,Female,Second,Kheu,unpleasant
R_2woX8qoudiMpUvJ,female,25,English,Never,Never,None,No,No,No,"I think ones that I found more unpleasant were maybe more high-pitched, or it felt like it. Also I might have found the initial first one more unpleasant because it was the first one I heard and was kind of loud and startling.",KheuKhya,Male,First,Kheu,unpleasant
R_2woX8qoudiMpUvJ,female,25,English,Never,Never,None,No,No,No,"I think ones that I found more unpleasant were maybe more high-pitched, or it felt like it. Also I might have found the initial first one more unpleasant because it was the first one I heard and was kind of loud and startling.",KheuKhya,Female,First,Kheu,unpleasant
R_2XibptemHT5pbRb,male,28,english,Never,Never,None,No,No,No,The unpleasant sounds sounded like a cat when it hisses ,KhyaKheu,Male,Second,Kheu,unpleasant
R_2XibptemHT5pbRb,male,28,english,Never,Never,None,No,No,No,The unpleasant sounds sounded like a cat when it hisses ,KheuKhya,Female,Second,Khya,unpleasant
R_2yflOP1rsfEpjkq,female,33,no,Never,Rarely,None,No,Maybe,Maybe,nothing for the feeling,KheuKhya,Female,First,Kheu,unpleasant
R_2yflOP1rsfEpjkq,female,33,no,Never,Rarely,None,No,Maybe,Maybe,nothing for the feeling,KheuKhya,Male,First,Kheu,unpleasant
R_2YrGOgqhmbk18QL,female,30,ENGLISH,Short visit(s),Occasionally,None,Maybe,Maybe,Maybe,THE SOUND IS LIKE A LADY VOICE,KhyaKheu,Male,Second,Kheu,unpleasant
R_2YrGOgqhmbk18QL,female,30,ENGLISH,Short visit(s),Occasionally,None,Maybe,Maybe,Maybe,THE SOUND IS LIKE A LADY VOICE,KheuKhya,Female,First,Kheu,unpleasant
R_2zBgeiT7y6HrW1T,female,44,English,Never,Never,None,No,No,Yes,I didn't like the one that sounded more harsh. ,KheuKhya,Male,First,Kheu,unpleasant
R_2zBgeiT7y6HrW1T,female,44,English,Never,Never,None,No,No,Yes,I didn't like the one that sounded more harsh. ,KheuKhya,Female,First,Kheu,unpleasant
R_2ZV9ifLPKYbRAaG,male,25,english,Short visit(s),Occasionally,None,Maybe,Maybe,No,no,KheuKhya,Male,Second,Khya,unpleasant
R_2ZV9ifLPKYbRAaG,male,25,english,Short visit(s),Occasionally,None,Maybe,Maybe,No,no,KhyaKheu,Female,First,Khya,unpleasant
R_31NrGP9snFeuHQ4,male,49,English,Lived 0-5 years,Regularly,Advanced,Yes,Maybe,Maybe,Good,KhyaKheu,Female,First,Khya,unpleasant
R_31NrGP9snFeuHQ4,male,49,English,Lived 0-5 years,Regularly,Advanced,Yes,Maybe,Maybe,Good,KheuKhya,Male,Second,Khya,unpleasant
R_32LwqNKXdtuRBZl,female,33,ENGLISH,Short visit(s),Occasionally,None,No,No,Maybe,THE SECOND SOUND IS UNPLEASANT.THE FIRST SOUND IS VERY HEAVY.,KhyaKheu,Female,Second,Kheu,unpleasant
R_32LwqNKXdtuRBZl,female,33,ENGLISH,Short visit(s),Occasionally,None,No,No,Maybe,THE SECOND SOUND IS UNPLEASANT.THE FIRST SOUND IS VERY HEAVY.,KheuKhya,Male,First,Kheu,unpleasant
R_33kA9YpyS8FSUPk,male,22,English,Never,Occasionally,None,No,No,Maybe,I picked the one that is a little bit louder as unpleasant.,KhyaKheu,Female,Second,Kheu,unpleasant
R_33kA9YpyS8FSUPk,male,22,English,Never,Occasionally,None,No,No,Maybe,I picked the one that is a little bit louder as unpleasant.,KheuKhya,Male,First,Kheu,unpleasant
R_3efvx3LQRIb4MkG,female,39,English,Never,Never,None,No,No,No,the one that sounded more human,KheuKhya,Female,First,Kheu,unpleasant
R_3efvx3LQRIb4MkG,female,39,English,Never,Never,None,No,No,No,the one that sounded more human,KhyaKheu,Male,First,Khya,unpleasant
R_3ENhq8w3hVlr3Hw,male,25,English,Never,Never,None,No,Maybe,No,no,KheuKhya,Female,First,Kheu,unpleasant
R_3ENhq8w3hVlr3Hw,male,25,English,Never,Never,None,No,Maybe,No,no,KhyaKheu,Male,Second,Kheu,unpleasant
R_3FULl6xzCrs1oE4,male,28,english,Never,Occasionally,None,Maybe,Maybe,Yes,na,KhyaKheu,Female,Second,Kheu,unpleasant
R_3FULl6xzCrs1oE4,male,28,english,Never,Occasionally,None,Maybe,Maybe,Yes,na,KheuKhya,Male,First,Kheu,unpleasant
R_3gTx7AO4jetg86l,male,26,English,Never,Never,None,No,Maybe,No,The particular sound I determined to be more unpleasant was that one that was more grating to my ears like nails on a chalkboard as an example.,KheuKhya,Male,Second,Khya,unpleasant
R_3gTx7AO4jetg86l,male,26,English,Never,Never,None,No,Maybe,No,The particular sound I determined to be more unpleasant was that one that was more grating to my ears like nails on a chalkboard as an example.,KheuKhya,Female,First,Kheu,unpleasant
R_3hsanpIefGgz8UP,,NA,,,,,,,,,NA,NA,NA,NA,unpleasant
R_3hsanpIefGgz8UP,,NA,,,,,,,,,NA,NA,NA,NA,unpleasant
R_3JaQmBSgCNs5eo9,male,32,english,Never,Never,None,Yes,Yes,No,I chose one as more unpleasant based on how long the sound lingered and how sharp it sounded.,KheuKhya,Female,First,Kheu,unpleasant
R_3JaQmBSgCNs5eo9,male,32,english,Never,Never,None,Yes,Yes,No,I chose one as more unpleasant based on how long the sound lingered and how sharp it sounded.,KheuKhya,Male,Second,Khya,unpleasant
R_3MGq2VL4mHVdV9H,male,26,English,Never,Never,None,No,No,Maybe,I make music so I imagined it being a percussive sound such as a clap or a snare/chant. ,KheuKhya,Male,Second,Khya,unpleasant
R_3MGq2VL4mHVdV9H,male,26,English,Never,Never,None,No,No,Maybe,I make music so I imagined it being a percussive sound such as a clap or a snare/chant. ,KhyaKheu,Female,First,Khya,unpleasant
R_3mla06TQyOy8HS8,male,25,english,Short visit(s),Rarely,Advanced,Maybe,Maybe,No,no ideas,KhyaKheu,Female,Second,Kheu,unpleasant
R_3mla06TQyOy8HS8,male,25,english,Short visit(s),Rarely,Advanced,Maybe,Maybe,No,no ideas,KheuKhya,Male,Second,Khya,unpleasant
R_3MoFafsqX3LGFZb,female,36,english,Lived 0-5 years,Occasionally,Intermediate,Maybe,Yes,Yes, I am prepared to answer any questions you may have about my ... you are open to making changes but you also have a certain,KheuKhya,Female,First,Kheu,unpleasant
R_3MoFafsqX3LGFZb,female,36,english,Lived 0-5 years,Occasionally,Intermediate,Maybe,Yes,Yes, I am prepared to answer any questions you may have about my ... you are open to making changes but you also have a certain,KhyaKheu,Male,First,Khya,unpleasant
R_3MurHCBlrBA5OXm,male,25,english,Short visit(s),Rarely,None,No,Maybe,Maybe,nothing,KheuKhya,Male,First,Kheu,unpleasant
R_3MurHCBlrBA5OXm,male,25,english,Short visit(s),Rarely,None,No,Maybe,Maybe,nothing,KhyaKheu,Female,Second,Kheu,unpleasant
R_3nC8hXXq3TiI4rO,male,38,English and Indonesian,Never,Rarely,None,Yes,Yes,Yes,I think one of the sound is louder and deeper than the other. This makes the sound stand out and clear that it's not a pleasant sound to hear.,KheuKhya,Male,Second,Khya,unpleasant
R_3nC8hXXq3TiI4rO,male,38,English and Indonesian,Never,Rarely,None,Yes,Yes,Yes,I think one of the sound is louder and deeper than the other. This makes the sound stand out and clear that it's not a pleasant sound to hear.,KhyaKheu,Female,Second,Kheu,unpleasant
R_3NE8nCv3L46ztmF,male,35,English,Never,Never,None,No,No,No,"I choose the sounds I thought was unpleasant by linking those sounds to things I found unpleasant, such as scratching a chalk board.",KhyaKheu,Male,Second,Kheu,unpleasant
R_3NE8nCv3L46ztmF,male,35,English,Never,Never,None,No,No,No,"I choose the sounds I thought was unpleasant by linking those sounds to things I found unpleasant, such as scratching a chalk board.",KhyaKheu,Female,First,Khya,unpleasant
R_3nwrHeoBPbvlrJs,female,27,English,Never,Rarely,None,No,Yes,No,"I ascertained the most ""unpleasant"" sound to be the one that was the most harsh and sharp.",KhyaKheu,Male,First,Khya,unpleasant
R_3nwrHeoBPbvlrJs,female,27,English,Never,Rarely,None,No,Yes,No,"I ascertained the most ""unpleasant"" sound to be the one that was the most harsh and sharp.",KheuKhya,Female,Second,Khya,unpleasant
R_3O91WpuFJl9jGQk,female,29,English,Never,Don't know,None,No,Yes,No,no,KhyaKheu,Male,First,Khya,unpleasant
R_3O91WpuFJl9jGQk,female,29,English,Never,Don't know,None,No,Yes,No,no,KhyaKheu,Female,Second,Kheu,unpleasant
R_3PaXpdgLuxj8PlC,male,33,English,Never,Never,None,No,Yes,Yes,nothing in particular made them unpleasant,KhyaKheu,Female,First,Khya,unpleasant
R_3PaXpdgLuxj8PlC,male,33,English,Never,Never,None,No,Yes,Yes,nothing in particular made them unpleasant,KheuKhya,Male,First,Kheu,unpleasant
R_3PSnWjlq5GS3VSA,female,29,English,Never,Never,None,No,No,No,no,KhyaKheu,Female,Second,Kheu,unpleasant
R_3PSnWjlq5GS3VSA,female,29,English,Never,Never,None,No,No,No,no,KheuKhya,Male,Second,Khya,unpleasant
R_3QPmaue0REG0qHC,female,39,English,Never,Never,None,No,Yes,No,I think the pitch of the sound influenced my decision. I also pictured someone making the sounds with their mouth. I found all the sounds to be unpleasant.,KheuKhya,Female,First,Kheu,unpleasant
R_3QPmaue0REG0qHC,female,39,English,Never,Never,None,No,Yes,No,I think the pitch of the sound influenced my decision. I also pictured someone making the sounds with their mouth. I found all the sounds to be unpleasant.,KhyaKheu,Male,First,Khya,unpleasant
R_3rHWCbktOy9O0ym,male,30,English,Short visit(s),Rarely,None,Maybe,Yes,Maybe,very nice,KheuKhya,Male,Second,Khya,unpleasant
R_3rHWCbktOy9O0ym,male,30,English,Short visit(s),Rarely,None,Maybe,Yes,Maybe,very nice,KhyaKheu,Female,Second,Kheu,unpleasant
R_3yB9QNSJiwMfeaR,male,23,English,Never,Don't know,None,No,No,No,"If it sounded more vicious and angry, I marked it as unpleasant. I didn't notice anything else, however. ",KhyaKheu,Female,Second,Kheu,unpleasant
R_3yB9QNSJiwMfeaR,male,23,English,Never,Don't know,None,No,No,No,"If it sounded more vicious and angry, I marked it as unpleasant. I didn't notice anything else, however. ",KhyaKheu,Male,First,Khya,unpleasant
R_4JvFluJR3CVAA3D,male,25,English,Short visit(s),Occasionally,Intermediate,No,Yes,Maybe,No,KheuKhya,Male,First,Kheu,unpleasant
R_4JvFluJR3CVAA3D,male,25,English,Short visit(s),Occasionally,Intermediate,No,Yes,Maybe,No,KheuKhya,Female,Second,Khya,unpleasant
R_57NGYoO1llxpWtb,male,35,English,Never,Rarely,None,No,Yes,No,"Number two in both cases had more ""theatrical"" flair to it or something. Like I imagined some bad actor on stage with spread jazz hands making the noises or something. So I was amused. Something like a cha-cha-cha musical theater thing. This made it easy to pick number one as the more unpleasant sound. ",KheuKhya,Female,First,Kheu,unpleasant
R_57NGYoO1llxpWtb,male,35,English,Never,Rarely,None,No,Yes,No,"Number two in both cases had more ""theatrical"" flair to it or something. Like I imagined some bad actor on stage with spread jazz hands making the noises or something. So I was amused. Something like a cha-cha-cha musical theater thing. This made it easy to pick number one as the more unpleasant sound. ",KheuKhya,Male,First,Kheu,unpleasant
R_6lEgixJGxO552St,male,40,english,Never,Never,None,Maybe,Yes,No,i just went off how i felt when i heard the sounds,KheuKhya,Female,First,Kheu,unpleasant
R_6lEgixJGxO552St,male,40,english,Never,Never,None,Maybe,Yes,No,i just went off how i felt when i heard the sounds,KheuKhya,Male,Second,Khya,unpleasant
R_8CAN4lix0tigZot,female,33,english,Never,Never,None,No,Yes,Maybe,They were both similar and the differences were subtle,KheuKhya,Male,Second,Khya,unpleasant
R_8CAN4lix0tigZot,female,33,english,Never,Never,None,No,Yes,Maybe,They were both similar and the differences were subtle,KhyaKheu,Female,First,Khya,unpleasant
