ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_9uTONG7UH4g0go1,female,english,Never,Never,None,No,Maybe,No,NA,KheuKhya,Female,First,Kheu,rough
R_9uTONG7UH4g0go1,female,english,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Male,First,Khya,rough
R_a4rYWFlMAXgzkqJ,male,English,Never,Rarely,None,No,Yes,Yes,NA,KhyaKheu,Male,Second,Kheu,rough
R_a4rYWFlMAXgzkqJ,male,English,Never,Rarely,None,No,Yes,Yes,NA,KhyaKheu,Female,Second,Kheu,rough
R_a8XKKLK5waWBKg1,female,english,Never,Never,None,No,No,Maybe,NA,KhyaKheu,Male,First,Khya,rough
R_a8XKKLK5waWBKg1,female,english,Never,Never,None,No,No,Maybe,NA,KheuKhya,Female,First,Kheu,rough
R_C8DfcRVv3Piwz3b,male,English,Never,Rarely,None,Maybe,No,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_C8DfcRVv3Piwz3b,male,English,Never,Rarely,None,Maybe,No,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_eWAywl4kOxF5hu1,,,,,,,,,NA,NA,NA,NA,NA,rough
R_eWAywl4kOxF5hu1,,,,,,,,,NA,NA,NA,NA,NA,rough
R_phEPobvUvbqiB9v,female,English,Never,Never,None,No,Yes,Yes,NA,KheuKhya,Female,Second,Khya,rough
R_phEPobvUvbqiB9v,female,English,Never,Never,None,No,Yes,Yes,NA,KhyaKheu,Male,First,Khya,rough
R_vHvpRlf6ayxHcFX,male,English,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_vHvpRlf6ayxHcFX,male,English,Never,Never,None,No,Maybe,No,NA,KheuKhya,Female,First,Kheu,rough
R_xt6oXRLKo9n04gh,male,English,Never,Rarely,None,No,Yes,Yes,NA,KheuKhya,Female,First,Kheu,rough
R_xt6oXRLKo9n04gh,male,English,Never,Rarely,None,No,Yes,Yes,NA,KheuKhya,Male,Second,Khya,rough
R_xtKIX1qgXDWPWz7,male,english,Short visit(s),Never,None,Yes,Yes,Yes,NA,KheuKhya,Male,First,Kheu,rough
R_xtKIX1qgXDWPWz7,male,english,Short visit(s),Never,None,Yes,Yes,Yes,NA,KhyaKheu,Female,Second,Kheu,rough
R_ZDobJykxpTKV1GF,female,English,Never,Rarely,None,No,No,No,NA,KheuKhya,Female,First,Kheu,rough
R_ZDobJykxpTKV1GF,female,English,Never,Rarely,None,No,No,No,NA,KheuKhya,Male,Second,Khya,rough
R_06bBBbDpRNE9Pnr,female,english,Never,Never,None,No,No,No,The harshness of the sound,KhyaKheu,Female,First,Khya,smooth
R_06bBBbDpRNE9Pnr,female,english,Never,Never,None,No,No,No,The harshness of the sound,KheuKhya,Male,Second,Khya,smooth
R_1CCn7xs2FfnoCod,female,English,Never,Never,None,No,No,Yes,there was some crackling in the ones that weren't smooth,KheuKhya,Female,Second,Khya,smooth
R_1CCn7xs2FfnoCod,female,English,Never,Never,None,No,No,Yes,there was some crackling in the ones that weren't smooth,KheuKhya,Male,Second,Khya,smooth
R_1ith04jyhcU4xME,female,English,Never,Never,None,No,Yes,No,Smoother meant for me that it didn't have a harsh opening. ,KhyaKheu,Female,First,Khya,smooth
R_1ith04jyhcU4xME,female,English,Never,Never,None,No,Yes,No,Smoother meant for me that it didn't have a harsh opening. ,KhyaKheu,Male,First,Khya,smooth
R_1KjBofdELcTQhyT,male,English,Never,Never,None,No,Yes,No,Maybe the volume was a little louder and it made it sound more crisp. I only listened to each once as requested. ,KhyaKheu,Female,Second,Kheu,smooth
R_1KjBofdELcTQhyT,male,English,Never,Never,None,No,Yes,No,Maybe the volume was a little louder and it made it sound more crisp. I only listened to each once as requested. ,KhyaKheu,Male,First,Khya,smooth
R_1N2m0xmeRkVRodB,female,english,Never,Rarely,None,No,No,No,I just picked the one I liked more that sounded more smoothing to me,KheuKhya,Female,Second,Khya,smooth
R_1N2m0xmeRkVRodB,female,english,Never,Rarely,None,No,No,No,I just picked the one I liked more that sounded more smoothing to me,KhyaKheu,Male,First,Khya,smooth
R_1NzhPPYJsihZIEg,female,english,Never,Never,None,No,No,No,unsure. I just went with my first instinct,KheuKhya,Male,Second,Khya,smooth
R_1NzhPPYJsihZIEg,female,english,Never,Never,None,No,No,No,unsure. I just went with my first instinct,KhyaKheu,Female,First,Khya,smooth
R_1onBZgz2Q1JCNtP,male,english,Never,Rarely,None,No,Yes,Yes,nothing specific,KhyaKheu,Female,Second,Kheu,smooth
R_1onBZgz2Q1JCNtP,male,english,Never,Rarely,None,No,Yes,Yes,nothing specific,KhyaKheu,Male,Second,Kheu,smooth
R_1OPjP22z5jmIlCF,male,English,Never,Never,Intermediate,Yes,Maybe,Yes,It was just smoother. ,KhyaKheu,Male,First,Khya,smooth
R_1OPjP22z5jmIlCF,male,English,Never,Never,Intermediate,Yes,Maybe,Yes,It was just smoother. ,KhyaKheu,Female,First,Khya,smooth
R_1P7uoPpzkUt5uPM,female,english,Short visit(s),Occasionally,None,No,Yes,Yes,Im really not sure. I was just going by my gut instincts,KhyaKheu,Female,First,Khya,smooth
R_1P7uoPpzkUt5uPM,female,english,Short visit(s),Occasionally,None,No,Yes,Yes,Im really not sure. I was just going by my gut instincts,KhyaKheu,Male,Second,Kheu,smooth
R_24ISiDa1yRNnGNd,female,English,Never,Rarely,None,No,Yes,Yes,All sounder hard because of the K sound. It really came down to the vowel sounds.,KhyaKheu,Male,First,Khya,smooth
R_24ISiDa1yRNnGNd,female,English,Never,Rarely,None,No,Yes,Yes,All sounder hard because of the K sound. It really came down to the vowel sounds.,KheuKhya,Female,Second,Khya,smooth
R_25KQGaRkTxFrdQ6,female,English,Never,Never,None,No,Maybe,No,I chose based on how easy it seemed for the person making the sound.,KheuKhya,Female,First,Kheu,smooth
R_25KQGaRkTxFrdQ6,female,English,Never,Never,None,No,Maybe,No,I chose based on how easy it seemed for the person making the sound.,KheuKhya,Male,Second,Khya,smooth
R_2B2HPuSiziyoGCs,,,,,,,,,,KhyaKheu,Female,First,Khya,smooth
R_2B2HPuSiziyoGCs,,,,,,,,,,KheuKhya,Male,Second,Khya,smooth
R_2Cm7doAHIfxMLQy,male,english,Never,Rarely,None,Yes,Yes,Yes,Guttural sounds lasted longer in the less smooth ones.,KhyaKheu,Female,First,Khya,smooth
R_2Cm7doAHIfxMLQy,male,english,Never,Rarely,None,Yes,Yes,Yes,Guttural sounds lasted longer in the less smooth ones.,KhyaKheu,Male,First,Khya,smooth
R_2D1diBmNfvCGUoY,male,English,Never,Rarely,None,Maybe,Maybe,Yes,"No idea how to explain it, just harder on the ears.",KheuKhya,Female,Second,Khya,smooth
R_2D1diBmNfvCGUoY,male,English,Never,Rarely,None,Maybe,Maybe,Yes,"No idea how to explain it, just harder on the ears.",KheuKhya,Male,Second,Khya,smooth
R_2E75jR65gVJhvuJ,female,english,Never,Never,None,No,Yes,No,i noticed that one sound sounded hard in the beginning,KheuKhya,Male,Second,Khya,smooth
