ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_3MidzGXO2GZh7S7,female,spanish and english,Never,Never,None,No,Yes,No,I dont know ,KhyaKheu,Female,Second,Kheu,smooth
R_3oAwGcAgjMD93mZ,female,English,Never,Never,None,No,No,No,I can't put into words why I felt one sound was smoother over the other. I tried to go with my gut instinct.,KheuKhya,Male,Second,Khya,smooth
R_3oAwGcAgjMD93mZ,female,English,Never,Never,None,No,No,No,I can't put into words why I felt one sound was smoother over the other. I tried to go with my gut instinct.,KhyaKheu,Female,First,Khya,smooth
R_3OoDsMA3IuYj3VT,female,English,Never,Never,None,No,Yes,No,I felt sounds that sounded more natural were smoother where the harder ones seemed forced.,KhyaKheu,Female,Second,Kheu,smooth
R_3OoDsMA3IuYj3VT,female,English,Never,Never,None,No,Yes,No,I felt sounds that sounded more natural were smoother where the harder ones seemed forced.,KheuKhya,Male,Second,Khya,smooth
R_3oUaMZ6o3bjz8Rf,,,,,,,,,,NA,NA,NA,NA,smooth
R_3oUaMZ6o3bjz8Rf,,,,,,,,,,NA,NA,NA,NA,smooth
R_3pawnLzRt20DNqk,male,English,Never,Never,None,No,No,No,I simply chose the one I felt was NOT as pronounced as the other.,KheuKhya,Male,First,Kheu,smooth
R_3pawnLzRt20DNqk,male,English,Never,Never,None,No,No,No,I simply chose the one I felt was NOT as pronounced as the other.,KheuKhya,Female,Second,Khya,smooth
R_3qdJQr5cBDMINMx,male,English ,Never,Rarely,None,No,Yes,Maybe,"I can't really put it into words, but one was ""crisp"" and the other was softer.",KheuKhya,Female,Second,Khya,smooth
R_3qdJQr5cBDMINMx,male,English ,Never,Rarely,None,No,Yes,Maybe,"I can't really put it into words, but one was ""crisp"" and the other was softer.",KhyaKheu,Male,First,Khya,smooth
R_3sbQcR43UxmtBZ0,female,English,Never,Occasionally,None,Yes,No,No,"I chose the sound that was the least ""raspy"".",KhyaKheu,Male,Second,Kheu,smooth
R_3sbQcR43UxmtBZ0,female,English,Never,Occasionally,None,Yes,No,No,"I chose the sound that was the least ""raspy"".",KhyaKheu,Female,First,Khya,smooth
R_6LOjQ6zUTjIqRpv,female,ENGLISH,Never,Never,None,No,No,No,If the sound sound harsher I did not consider it to be the smoother one.,KheuKhya,Female,Second,Khya,smooth
R_6LOjQ6zUTjIqRpv,female,ENGLISH,Never,Never,None,No,No,No,If the sound sound harsher I did not consider it to be the smoother one.,KhyaKheu,Male,First,Khya,smooth
R_87dNKPseeiGd0IN,male,English,Never,Rarely,None,Yes,Yes,Maybe,just how I feel,KheuKhya,Male,First,Kheu,smooth
R_87dNKPseeiGd0IN,male,English,Never,Rarely,None,Yes,Yes,Maybe,just how I feel,KheuKhya,Female,Second,Khya,smooth
R_8jOfaGmd14fDAw9,male,English,Lived 0-5 years,Rarely,None,No,Yes,Maybe,N/A,KhyaKheu,Male,Second,Kheu,smooth
